state/ut,cnfrmd,actv,rcvd,dcsd
Bilaspur,24,12,12,0
Chamba,32,12,20,0
Hamirpur,124,45,78,1
Kangra,118,53,64,1
Kinnaur,2,2,0,0
Kullu,4,2,2,0
Lahaul and Spiti,0,0,0,0
Mandi,22,10,10,2
Shimla,14,4,8,2
Sirmaur,22,18,4,0
Solan,35,14,17,1
Una,54,19,35,0
Total,451,191,250,7
