state/ut,cnfrmd,actv,rcvd,dcsd
East Sikkim,3,3,0,0
North Sikkim,0,0,0,0
South Sikkim,3,3,0,0
West Sikkim,4,4,0,0
Unknown,3,0,3,0
Total,13,10,3,0
