state/ut,cnfrmd,actv,rcvd,dcsd
Bishnupur,40,39,1,0
Chandel,4,4,0,0
Churachandpur,41,38,3,0
Imphal East,15,3,12,0
Imphal West,42,37,5,0
Jiribam,0,0,0,0
Kakching,22,22,0,0
Kamjong,11,9,2,0
Kangpokpi,43,43,0,0
Noney,13,12,1,0
Pherzawl,5,5,0,0
Senapati,7,7,0,0
Tamenglong,5,4,1,0
Tengnoupal,9,9,0,0
Thoubal,10,6,4,0
Ukhrul,13,11,2,0
Unknown,31,-2,33,0
Total,311,247,64,0
