state/ut,cnfrmd,actv,rcvd,dcsd
Dhalai,200,30,170,0
Gomati,95,68,27,0
Khowai,28,15,13,0
North Tripura,14,7,7,0
Sipahijala,355,346,9,0
South Tripura,75,71,4,0
Unokoti,52,51,1,0
West Tripura,78,69,8,1
Total,897,657,239,1
